Adjacency Matrix (17x17):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
 0     0.00    0.00  273.06  133.00  166.82    0.00    0.00  233.19  130.61    0.00  173.53  172.59    0.00  185.65    0.00    0.00   76.97
 1     0.00    0.00    0.00    0.00  354.54   85.96    0.00    0.00  203.73  198.15  158.90    0.00  166.88    0.00    0.00  143.41  288.67
 2   273.06    0.00    0.00    0.00    0.00  201.02  311.75    0.00    0.00    0.00  372.19  413.00    0.00  240.80  505.02  170.85    0.00
 3   133.00    0.00    0.00    0.00  269.53    0.00  363.90    0.00    0.00  280.59    0.00  134.97  199.46    0.00    0.00    0.00    0.00
 4   166.82  354.54    0.00  269.53    0.00    0.00    0.00    0.00    0.00    0.00  338.57  212.00    0.00    0.00    0.00  331.09    0.00
 5     0.00   85.96  201.02    0.00    0.00    0.00    0.00    0.00  153.83  141.00    0.00    0.00    0.00   65.92    0.00   63.07  300.53
 6     0.00    0.00  311.75  363.90    0.00    0.00    0.00    0.00    0.00    0.00  214.02  463.76    0.00    0.00    0.00    0.00  355.65
 7   233.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.21  324.91    0.00  358.79  194.62  458.63  139.74  308.51
 8   130.61  203.73    0.00    0.00    0.00  153.83    0.00    0.00    0.00   20.81    0.00  286.23    0.00  150.22  396.71    0.00  206.32
 9     0.00  198.15    0.00  280.59    0.00  141.00    0.00   84.21   20.81    0.00  250.53  307.03  288.18  145.79    0.00  156.78  226.11
10   173.53  158.90  372.19    0.00  338.57    0.00  214.02  324.91    0.00  250.53    0.00  290.99   44.72    0.00    0.00  284.19    0.00
11   172.59    0.00  413.00  134.97  212.00    0.00  463.76    0.00  286.23  307.03  290.99    0.00    0.00  355.42    0.00    0.00  108.63
12     0.00  166.88    0.00  199.46    0.00    0.00    0.00  358.79    0.00  288.18   44.72    0.00    0.00  177.23  132.85    0.00    0.00
13   185.65    0.00  240.80    0.00    0.00   65.92    0.00  194.62  150.22  145.79    0.00  355.42  177.23    0.00    0.00  128.76    0.00
14     0.00    0.00  505.02    0.00    0.00    0.00    0.00  458.63  396.71    0.00    0.00    0.00  132.85    0.00    0.00  369.93  360.90
15     0.00  143.41  170.85    0.00  331.09   63.07    0.00  139.74    0.00  156.78  284.19    0.00    0.00  128.76  369.93    0.00    0.00
16    76.97  288.67    0.00    0.00    0.00  300.53  355.65  308.51  206.32  226.11    0.00  108.63    0.00    0.00  360.90    0.00    0.00
