Adjacency Matrix (18x18):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17
 0     0.00  163.98  172.05  209.15  337.04    0.00    0.00  112.58    0.00  184.95    0.00  136.94  395.99    0.00    0.00  312.26  168.96   58.82
 1   163.98    0.00   37.20  197.94  500.64  226.05  402.20    0.00  416.81  325.98  477.60  137.08    0.00  298.77  285.77    0.00  103.32  131.89
 2   172.05   37.20    0.00  165.44  504.00  242.40  375.49  206.46  407.77  345.28  480.51  170.18  536.99  301.94    0.00  417.14   70.11  128.70
 3   209.15  197.94  165.44    0.00  459.84  288.67    0.00  304.83  317.12  387.62  435.99    0.00  441.78  280.03  296.44  295.39   95.34  153.05
 4   337.04  500.64  504.00  459.84    0.00  295.84  397.50  384.66  176.79  249.23    0.00    0.00  165.47  202.20  218.91  259.83  477.81  375.72
 5     0.00  226.05  242.40  288.67  295.84    0.00  386.87   91.24    0.00  104.69  275.41    0.00  387.08  117.90   81.39  336.52  248.92  140.09
 6     0.00  402.20  375.49    0.00  397.50  386.87    0.00  445.93    0.00    0.00  378.16    0.00  303.80  306.02  344.69    0.00    0.00    0.00
 7   112.58    0.00  206.46  304.83  384.66   91.24  445.93    0.00    0.00  161.48  365.00   58.67  477.53  207.46  172.63  416.12  238.40  154.62
 8     0.00  416.81  407.77  317.12  176.79    0.00    0.00    0.00    0.00  296.62  157.99  406.04    0.00  161.15  203.02   87.78    0.00  285.27
 9   184.95  325.98  345.28  387.62  249.23  104.69    0.00  161.48  296.62    0.00    0.00  220.03    0.00  149.04    0.00  372.70  353.46  243.53
10     0.00  477.60  480.51  435.99    0.00  275.41  378.16  365.00  157.99    0.00    0.00    0.00  163.17    0.00  197.29  243.02    0.00  352.12
11   136.94  137.08  170.18    0.00    0.00    0.00    0.00   58.67  406.04  220.03    0.00    0.00    0.00  254.53  223.90  449.16  216.38  159.11
12   395.99    0.00  536.99  441.78  165.47  387.08  303.80  477.53    0.00    0.00  163.17    0.00    0.00  270.19  306.51  161.01    0.00    0.00
13     0.00  298.77  301.94  280.03  202.20  117.90  306.02  207.46  161.15  149.04    0.00  254.53  270.19    0.00    0.00  227.52    0.00  174.13
14     0.00  285.77    0.00  296.44  218.91   81.39  344.69  172.63  203.02    0.00  197.29  223.90  306.51    0.00    0.00    0.00    0.00    0.00
15   312.26    0.00  417.14  295.39  259.83  336.52    0.00  416.12   87.78  372.70  243.02  449.16  161.01  227.52    0.00    0.00  360.62  308.03
16   168.96  103.32   70.11   95.34  477.81  248.92    0.00  238.40    0.00  353.46    0.00  216.38    0.00    0.00    0.00  360.62    0.00  112.00
17    58.82  131.89  128.70  153.05  375.72  140.09    0.00  154.62  285.27  243.53  352.12  159.11    0.00  174.13    0.00  308.03  112.00    0.00
