Adjacency Matrix (15x15):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14
 0     0.00    0.00  234.18  152.07    0.00  140.55  245.73  127.02  228.18    0.00  231.72  194.55  119.62    0.00  349.73
 1     0.00    0.00  141.15  339.73  218.83  322.69    0.00  314.16  281.49  242.24  352.77    0.00    0.00  308.87  220.06
 2   234.18  141.15    0.00    0.00  351.57    0.00  300.67  349.76  403.75  107.90    0.00    0.00  274.59  418.04    0.00
 3   152.07  339.73    0.00    0.00  476.47   57.31    0.00   28.84    0.00  455.69    0.00  166.94  113.15  239.01  484.48
 4     0.00  218.83  351.57  476.47    0.00  482.42  102.96    0.00  263.05  437.14  377.72    0.00  462.47  320.23  391.62
 5   140.55  322.69    0.00   57.31  482.42    0.00  381.27   66.12    0.00  411.14  265.00  110.37   60.42    0.00  445.38
 6   245.73    0.00  300.67    0.00  102.96  381.27    0.00    0.00  178.76  399.96  286.34  436.74  364.91  230.05  368.88
 7   127.02  314.16  349.76   28.84    0.00   66.12    0.00    0.00  258.50  440.99  199.06  175.17  110.79  216.09    0.00
 8   228.18  281.49  403.75    0.00  263.05    0.00  178.76  258.50    0.00  511.57    0.00  408.90  330.68   60.54  500.25
 9     0.00  242.24  107.90  455.69  437.14  411.14  399.96  440.99  511.57    0.00    0.00  355.35    0.00  525.53    0.00
10   231.72  352.77    0.00    0.00  377.72  265.00  286.34  199.06    0.00    0.00    0.00  371.47    0.00   57.56  559.73
11   194.55    0.00    0.00  166.94    0.00  110.37  436.74  175.17  408.90  355.35  371.47    0.00    0.00  378.76  403.45
12   119.62    0.00  274.59  113.15  462.47   60.42  364.91  110.79  330.68    0.00    0.00    0.00    0.00  302.04  388.21
13     0.00  308.87  418.04  239.01  320.23    0.00  230.05  216.09   60.54  525.53   57.56  378.76  302.04    0.00  522.04
14   349.73  220.06    0.00  484.48  391.62  445.38  368.88    0.00  500.25    0.00  559.73  403.45  388.21  522.04    0.00
