Adjacency Matrix (17x17):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
 0     0.00    0.00  273.06  133.00    0.00    0.00    0.00  233.19  130.61    0.00  173.53  172.59  218.25  185.65    0.00  275.63   76.97
 1     0.00    0.00  282.87  299.41  354.54   85.96   67.12  238.60  203.73    0.00  158.90    0.00  166.88   53.94    0.00  143.41    0.00
 2   273.06  282.87    0.00  405.71  230.73    0.00  311.75   47.42  144.01  127.77  372.19  413.00    0.00  240.80  505.02  170.85  346.55
 3   133.00  299.41  405.71    0.00  269.53  329.80    0.00    0.00    0.00  280.59  166.09    0.00  199.46  270.50  323.01  385.65   70.66
 4     0.00  354.54  230.73  269.53    0.00    0.00  414.03  217.04  160.12  175.35    0.00    0.00  383.13  300.88  513.02  331.09  198.96
 5     0.00   85.96    0.00  329.80    0.00    0.00  113.22  159.53  153.83    0.00  221.20    0.00  240.60   65.92    0.00   63.07  300.53
 6     0.00   67.12  311.75    0.00  414.03  113.22    0.00  272.15  257.87  248.68    0.00  463.76  211.29  115.41  235.59  148.66  355.65
 7   233.19  238.60   47.42    0.00  217.04  159.53  272.15    0.00  102.59    0.00  324.91  382.43  358.79  194.62  458.63  139.74    0.00
 8   130.61  203.73  144.01    0.00  160.12  153.83  257.87  102.59    0.00    0.00  241.90  286.23    0.00  150.22  396.71  174.86  206.32
 9     0.00    0.00  127.77  280.59  175.35    0.00  248.68    0.00    0.00    0.00  250.53  307.03  288.18  145.79  399.53  156.78  226.11
10   173.53  158.90  372.19  166.09    0.00  221.20    0.00  324.91  241.90  250.53    0.00  290.99   44.72  155.46  177.12    0.00    0.00
11   172.59    0.00  413.00    0.00    0.00    0.00  463.76  382.43  286.23  307.03  290.99    0.00  329.30  355.42    0.00    0.00  108.63
12   218.25  166.88    0.00  199.46  383.13  240.60  211.29  358.79    0.00  288.18   44.72  329.30    0.00  177.23  132.85    0.00    0.00
13   185.65   53.94  240.80  270.50  300.88   65.92  115.41  194.62  150.22  145.79  155.46  355.42  177.23    0.00    0.00  128.76  249.40
14     0.00    0.00  505.02  323.01  513.02    0.00  235.59  458.63  396.71  399.53  177.12    0.00  132.85    0.00    0.00  369.93  360.90
15   275.63  143.41  170.85  385.65  331.09   63.07  148.66  139.74  174.86  156.78    0.00    0.00    0.00  128.76  369.93    0.00  350.04
16    76.97    0.00  346.55   70.66  198.96  300.53  355.65    0.00  206.32  226.11    0.00  108.63    0.00  249.40  360.90  350.04    0.00
