Adjacency Matrix (18x18):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17
 0     0.00  163.98    0.00  209.15    0.00   81.27  333.35    0.00    0.00    0.00    0.00  136.94    0.00    0.00    0.00    0.00  168.96    0.00
 1   163.98    0.00    0.00    0.00  500.64  226.05    0.00    0.00    0.00    0.00    0.00  137.08    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00  242.40  375.49  206.46    0.00  345.28  480.51    0.00  536.99  301.94  294.16    0.00   70.11    0.00
 3   209.15    0.00    0.00    0.00  459.84    0.00  218.63    0.00  317.12    0.00  435.99  295.97  441.78    0.00    0.00  295.39    0.00    0.00
 4     0.00  500.64    0.00  459.84    0.00  295.84  397.50    0.00  176.79    0.00   24.04  439.81  165.47    0.00  218.91    0.00    0.00  375.72
 5    81.27  226.05  242.40    0.00  295.84    0.00  386.87    0.00    0.00    0.00    0.00  144.05  387.08  117.90    0.00    0.00  248.92  140.09
 6   333.35    0.00  375.49  218.63  397.50  386.87    0.00    0.00    0.00  453.54  378.16  461.71    0.00  306.02  344.69    0.00    0.00    0.00
 7     0.00    0.00  206.46    0.00    0.00    0.00    0.00    0.00  364.79    0.00    0.00   58.67  477.53  207.46    0.00  416.12  238.40    0.00
 8     0.00    0.00    0.00  317.12  176.79    0.00    0.00  364.79    0.00  296.62    0.00  406.04  129.42    0.00  203.02    0.00    0.00  285.27
 9     0.00    0.00  345.28    0.00    0.00    0.00  453.54    0.00  296.62    0.00    0.00  220.03    0.00  149.04  108.85  372.70  353.46  243.53
10     0.00    0.00  480.51  435.99   24.04    0.00  378.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  453.84  352.12
11   136.94  137.08    0.00  295.97  439.81  144.05  461.71   58.67  406.04  220.03    0.00    0.00  523.96  254.53  223.90  449.16  216.38    0.00
12     0.00    0.00  536.99  441.78  165.47  387.08    0.00  477.53  129.42    0.00    0.00  523.96    0.00    0.00    0.00  161.01    0.00  413.24
13     0.00    0.00  301.94    0.00    0.00  117.90  306.02  207.46    0.00  149.04    0.00  254.53    0.00    0.00    0.00  227.52  280.15    0.00
14     0.00    0.00  294.16    0.00  218.91    0.00  344.69    0.00  203.02  108.85    0.00  223.90    0.00    0.00    0.00  270.68    0.00  171.47
15     0.00    0.00    0.00  295.39    0.00    0.00    0.00  416.12    0.00  372.70    0.00  449.16  161.01  227.52  270.68    0.00  360.62    0.00
16   168.96    0.00   70.11    0.00    0.00  248.92    0.00  238.40    0.00  353.46  453.84  216.38    0.00  280.15    0.00  360.62    0.00  112.00
17     0.00    0.00    0.00    0.00  375.72  140.09    0.00    0.00  285.27  243.53  352.12    0.00  413.24    0.00  171.47    0.00  112.00    0.00
