Adjacency Matrix (11x11):
          0       1       2       3       4       5       6       7       8       9      10
 0     0.00    0.00  422.61  429.91  195.25  166.09    0.00  313.84    0.00    0.00  220.05
 1     0.00    0.00   94.83    0.00  169.92  396.56  106.51    0.00  138.01  419.32    0.00
 2   422.61   94.83    0.00   30.36    0.00    0.00    0.00    0.00  186.43    0.00    0.00
 3   429.91    0.00   30.36    0.00    0.00  415.02  220.05  217.15  195.53  412.15    0.00
 4   195.25  169.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5   166.09  396.56    0.00  415.02    0.00    0.00  460.44  385.77    0.00   87.09    0.00
 6     0.00  106.51    0.00  220.05    0.00  460.44    0.00    0.00  205.30    0.00  175.79
 7   313.84    0.00    0.00  217.15    0.00  385.77    0.00    0.00  137.64    0.00    0.00
 8     0.00  138.01  186.43  195.53    0.00    0.00  205.30  137.64    0.00    0.00   70.46
 9     0.00  419.32    0.00  412.15    0.00   87.09    0.00    0.00    0.00    0.00  336.81
10   220.05    0.00    0.00    0.00    0.00    0.00  175.79    0.00   70.46  336.81    0.00
