Adjacency Matrix (15x15):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14
 0     0.00  187.67  234.18  152.07  344.68  140.55    0.00    0.00  228.18  334.43    0.00    0.00    0.00  215.06    0.00
 1   187.67    0.00    0.00    0.00    0.00  322.69  159.52    0.00    0.00    0.00  352.77    0.00    0.00    0.00  220.06
 2   234.18    0.00    0.00  368.01    0.00    0.00    0.00    0.00  403.75  107.90  451.24    0.00    0.00  418.04    0.00
 3   152.07    0.00  368.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00  216.95    0.00  113.15    0.00    0.00
 4   344.68    0.00    0.00    0.00    0.00  482.42    0.00    0.00  263.05  437.14    0.00    0.00  462.47    0.00  391.62
 5   140.55  322.69    0.00    0.00  482.42    0.00  381.27    0.00    0.00  411.14  265.00    0.00    0.00  279.09  445.38
 6     0.00  159.52    0.00    0.00    0.00  381.27    0.00  344.83    0.00  399.96  286.34  436.74    0.00  230.05    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00  344.83    0.00    0.00  440.99  199.06    0.00    0.00  216.09  466.46
 8   228.18    0.00  403.75    0.00  263.05    0.00    0.00    0.00    0.00    0.00  117.18  408.90  330.68    0.00    0.00
 9   334.43    0.00  107.90    0.00  437.14  411.14  399.96  440.99    0.00    0.00  557.29    0.00  351.67    0.00   70.01
10     0.00  352.77  451.24  216.95    0.00  265.00  286.34  199.06  117.18  557.29    0.00    0.00  298.56   57.56  559.73
11     0.00    0.00    0.00    0.00    0.00    0.00  436.74    0.00  408.90    0.00    0.00    0.00   78.34  378.76  403.45
12     0.00    0.00    0.00  113.15  462.47    0.00    0.00    0.00  330.68  351.67  298.56   78.34    0.00  302.04    0.00
13   215.06    0.00  418.04    0.00    0.00  279.09  230.05  216.09    0.00    0.00   57.56  378.76  302.04    0.00  522.04
14     0.00  220.06    0.00    0.00  391.62  445.38    0.00  466.46    0.00   70.01  559.73  403.45    0.00  522.04    0.00
