Adjacency Matrix (13x13):
          0       1       2       3       4       5       6       7       8       9      10      11      12
 0     0.00  265.14  111.63    0.00    0.00    0.00  164.62  289.70    0.00    0.00  119.88    0.00    0.00
 1   265.14    0.00    0.00    0.00    0.00  445.15  107.00    0.00    0.00  239.58    0.00    0.00    0.00
 2   111.63    0.00    0.00  419.94  225.40  299.02  263.97    0.00  419.69    0.00  207.80    0.00    0.00
 3     0.00    0.00  419.94    0.00    0.00    0.00    0.00  539.48  406.50    0.00    0.00  212.81    0.00
 4     0.00    0.00  225.40    0.00    0.00  198.60  162.73    0.00  197.27    0.00  295.55    0.00    0.00
 5     0.00  445.15  299.02    0.00  198.60    0.00  360.76   48.66  312.36    0.00  456.44    0.00  260.74
 6   164.62  107.00  263.97    0.00  162.73  360.76    0.00  323.29    0.00  190.16    0.00   28.84  218.19
 7   289.70    0.00    0.00  539.48    0.00   48.66  323.29    0.00  305.79    0.00  409.02  326.83  212.08
 8     0.00    0.00  419.69  406.50  197.27  312.36    0.00  305.79    0.00  105.55  433.28  265.34    0.00
 9     0.00  239.58    0.00    0.00    0.00    0.00  190.16    0.00  105.55    0.00    0.00  210.87    0.00
10   119.88    0.00  207.80    0.00  295.55  456.44    0.00  409.02  433.28    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00  212.81    0.00    0.00   28.84  326.83  265.34  210.87    0.00    0.00  202.56
12     0.00    0.00    0.00    0.00    0.00  260.74  218.19  212.08    0.00    0.00    0.00  202.56    0.00
