Adjacency Matrix (14x14):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  411.55    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00  274.53    0.00    0.00    0.00  129.71    0.00  300.67    0.00    0.00    0.00    0.00    0.00
 2     0.00  274.53    0.00    0.00  146.18    0.00    0.00    0.00    0.00    0.00    0.00  297.84    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00  163.88    0.00   47.30  349.78    0.00  309.18  120.10
 4     0.00    0.00  146.18    0.00    0.00    0.00    0.00    0.00    0.00  398.02    0.00    0.00    0.00    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00  273.39    0.00  473.78    0.00    0.00    0.00    0.00    0.00
 6     0.00  129.71    0.00    0.00    0.00  273.39    0.00    0.00    0.00    0.00    0.00    0.00  239.10    0.00
 7     0.00    0.00    0.00  163.88    0.00    0.00    0.00    0.00    0.00  206.17    0.00    0.00    0.00    0.00
 8   411.55  300.67    0.00    0.00    0.00  473.78    0.00    0.00    0.00  437.01    0.00    0.00    0.00  372.84
 9     0.00    0.00    0.00   47.30  398.02    0.00    0.00  206.17  437.01    0.00    0.00  193.40    0.00  166.77
10     0.00    0.00    0.00  349.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  505.10    0.00
11     0.00    0.00  297.84    0.00    0.00    0.00    0.00    0.00    0.00  193.40    0.00    0.00  165.03    0.00
12     0.00    0.00    0.00  309.18    0.00    0.00  239.10    0.00    0.00    0.00  505.10  165.03    0.00    0.00
13     0.00    0.00    0.00  120.10    0.00    0.00    0.00    0.00  372.84  166.77    0.00    0.00    0.00    0.00
