Adjacency Matrix (19x19):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18
 0     0.00  425.84    0.00    0.00    0.00    0.00    0.00  218.69    0.00    0.00  437.06    0.00    0.00    0.00    0.00  284.18    0.00    0.00  229.06
 1   425.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00  238.42  386.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00   83.93  208.41    0.00    0.00    0.00  212.45    0.00   36.12    0.00  251.05    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  295.46  373.88    0.00    0.00    0.00    0.00    0.00  426.55    0.00    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  131.21    0.00    0.00    0.00  162.11    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   71.25    0.00  368.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00   83.93    0.00    0.00    0.00    0.00    0.00    0.00  169.54    0.00  128.51  181.47    0.00    0.00    0.00    0.00  118.30    0.00
 7   218.69    0.00  208.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  392.55  370.82    0.00    0.00  321.62
 8     0.00  238.42    0.00  295.46    0.00   71.25    0.00    0.00    0.00    0.00  336.81    0.00    0.00    0.00  326.91  303.43  122.59    0.00    0.00
 9     0.00  386.16    0.00  373.88    0.00    0.00  169.54    0.00    0.00    0.00  281.71    0.00    0.00    0.00    0.00  147.00  238.65   51.24    0.00
10   437.06    0.00    0.00    0.00    0.00  368.05    0.00    0.00  336.81  281.71    0.00    0.00  325.33    0.00   88.09    0.00    0.00    0.00  255.79
11     0.00    0.00  212.45    0.00    0.00    0.00  128.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  311.41
12     0.00    0.00    0.00    0.00    0.00    0.00  181.47    0.00    0.00    0.00  325.33    0.00    0.00    0.00    0.00  436.74  111.22    0.00    0.00
13     0.00    0.00   36.12    0.00  131.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14     0.00    0.00    0.00    0.00    0.00    0.00    0.00  392.55  326.91    0.00   88.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15   284.18    0.00  251.05  426.55    0.00    0.00    0.00  370.82  303.43  147.00    0.00    0.00  436.74    0.00    0.00    0.00    0.00    0.00    0.00
16     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  122.59  238.65    0.00    0.00  111.22    0.00    0.00    0.00    0.00    0.00  306.49
17     0.00    0.00    0.00    0.00  162.11    0.00  118.30    0.00    0.00   51.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  133.65
18   229.06    0.00    0.00    0.00    0.00    0.00    0.00  321.62    0.00    0.00  255.79  311.41    0.00    0.00    0.00    0.00  306.49  133.65    0.00
