Adjacency Matrix (20x20):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19
 0     0.00    0.00    0.00  334.34    0.00    0.00  210.24    0.00  365.92    0.00  209.88  250.59  259.68   65.22  133.06  129.81    0.00   75.96    0.00  101.40
 1     0.00    0.00    0.00  229.58    0.00  220.74    0.00  363.72  406.00  237.41    0.00   32.98    0.00    0.00  381.88    0.00    0.00  315.60  211.99  352.09
 2     0.00    0.00    0.00  338.79    0.00  314.20  163.38  456.28  463.34    0.00    0.00  161.97    0.00  243.19    0.00  139.22  353.99    0.00  149.62  250.23
 3   334.34  229.58  338.79    0.00    0.00   45.40  175.73  138.71    0.00    0.00  131.03  197.23    0.00  361.90  405.24  425.07  168.93    0.00  296.12  430.69
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00  455.20    0.00    0.00    0.00    0.00    0.00  215.65    0.00    0.00    0.00  179.51  126.59  220.32
 5     0.00  220.74  314.20   45.40    0.00    0.00  155.19  144.59  197.44    0.00    0.00  187.76    0.00  317.92  360.09    0.00    0.00  369.04  256.81    0.00
 6   210.24    0.00  163.38  175.73    0.00  155.19    0.00    0.00    0.00    0.00    0.00    0.00  317.40  261.84    0.00  265.05  229.16  279.79    0.00  311.21
 7     0.00  363.72  456.28  138.71  455.20  144.59    0.00    0.00    0.00    0.00  202.25    0.00  259.77    0.00    0.00    0.00  158.66    0.00    0.00  488.80
 8   365.92  406.00  463.34    0.00    0.00  197.44    0.00    0.00    0.00  326.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00  429.96    0.00  429.96
 9     0.00  237.41    0.00    0.00    0.00    0.00    0.00    0.00  326.66    0.00  168.08  226.90  229.69    0.00    0.00    0.00  220.24  117.18    0.00    0.00
10   209.88    0.00    0.00  131.03    0.00    0.00    0.00  202.25    0.00  168.08    0.00  179.48    0.00    0.00    0.00    0.00    0.00  285.24    0.00    0.00
11   250.59   32.98  161.97  197.23    0.00  187.76    0.00    0.00    0.00  226.90  179.48    0.00  370.39  306.80    0.00  284.04    0.00  314.99    0.00    0.00
12   259.68    0.00    0.00    0.00    0.00    0.00  317.40  259.77    0.00  229.69    0.00  370.39    0.00  226.38  215.26    0.00  122.80    0.00  262.09  298.00
13    65.22    0.00  243.19  361.90  215.65  317.92  261.84    0.00    0.00    0.00    0.00  306.80  226.38    0.00   68.01    0.00    0.00    0.00    0.00    0.00
14   133.06  381.88    0.00  405.24    0.00  360.09    0.00    0.00    0.00    0.00    0.00    0.00  215.26   68.01    0.00    0.00  278.35  125.40    0.00   96.69
15   129.81    0.00  139.22  425.07    0.00    0.00  265.05    0.00    0.00    0.00    0.00  284.04    0.00    0.00    0.00    0.00  383.60  103.32  141.99  140.77
16     0.00    0.00  353.99  168.93    0.00    0.00  229.16  158.66    0.00  220.24    0.00    0.00  122.80    0.00  278.35  383.60    0.00    0.00    0.00    0.00
17    75.96  315.60    0.00    0.00  179.51  369.04  279.79    0.00  429.96  117.18  285.24  314.99    0.00    0.00  125.40  103.32    0.00    0.00  117.35    0.00
18     0.00  211.99  149.62  296.12  126.59  256.81    0.00    0.00    0.00    0.00    0.00    0.00  262.09    0.00    0.00  141.99    0.00  117.35    0.00  146.51
19   101.40  352.09  250.23  430.69  220.32    0.00  311.21  488.80  429.96    0.00    0.00    0.00  298.00    0.00   96.69  140.77    0.00    0.00  146.51    0.00
