Adjacency Matrix (20x20):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19
 0     0.00  256.30    0.00  334.34    0.00  293.16  210.24    0.00    0.00   42.19  209.88  250.59  259.68   65.22  133.06  129.81  260.93    0.00   45.61  101.40
 1   256.30    0.00  143.59  229.58  163.99  220.74    0.00  363.72  406.00  237.41  209.12    0.00    0.00  315.93    0.00    0.00  308.16  315.60  211.99  352.09
 2     0.00  143.59    0.00  338.79   30.00    0.00  163.38  456.28  463.34    0.00    0.00  161.97  403.15  243.19  310.36  139.22  353.99  209.47  149.62  250.23
 3   334.34  229.58  338.79    0.00  343.65   45.40  175.73  138.71  218.71  293.97  131.03  197.23  291.53  361.90  405.24    0.00  168.93  410.30    0.00    0.00
 4     0.00  163.99   30.00  343.65    0.00  315.69  170.85  455.20  454.25  161.45  257.50  178.16  385.22  215.65    0.00  112.15    0.00  179.51  126.59  220.32
 5   293.16  220.74    0.00   45.40  315.69    0.00    0.00  144.59    0.00    0.00   86.47  187.76  251.21  317.92    0.00  389.96  130.14    0.00    0.00    0.00
 6   210.24    0.00  163.38  175.73  170.85    0.00    0.00  299.67  329.67  181.65    0.00    0.00  317.40  261.84  323.79  265.05  229.16  279.79    0.00  311.21
 7     0.00  363.72  456.28  138.71  455.20  144.59  299.67    0.00  123.94    0.00  202.25  330.80  259.77  412.92  436.96  518.16  158.66  478.83  377.97    0.00
 8     0.00  406.00  463.34  218.71  454.25    0.00  329.67  123.94    0.00    0.00    0.00  374.09  154.99  353.53  359.98    0.00  110.17  429.96  350.56  429.96
 9    42.19  237.41    0.00  293.97  161.45    0.00  181.65    0.00    0.00    0.00  168.08    0.00    0.00    0.00    0.00  165.34  220.24  117.18   34.93  137.62
10   209.88  209.12    0.00  131.03  257.50   86.47    0.00  202.25    0.00  168.08    0.00    0.00    0.00  231.51  274.53  316.08   99.32  285.24  177.23  302.24
11   250.59    0.00  161.97  197.23  178.16  187.76    0.00  330.80  374.09    0.00    0.00    0.00    0.00  306.80  370.95    0.00    0.00  314.99  205.20  349.45
12   259.68    0.00  403.15  291.53  385.22  251.21  317.40  259.77  154.99    0.00    0.00    0.00    0.00  226.38  215.26    0.00    0.00  308.00    0.00  298.00
13    65.22  315.93  243.19  361.90  215.65  317.92  261.84  412.92  353.53    0.00  231.51  306.80  226.38    0.00   68.01  174.23  257.93   81.86  104.64   76.84
14   133.06    0.00  310.36  405.24    0.00    0.00  323.79  436.96  359.98    0.00  274.53  370.95  215.26   68.01    0.00  227.86  278.35  125.40  172.00   96.69
15   129.81    0.00  139.22    0.00  112.15  389.96  265.05  518.16    0.00  165.34  316.08    0.00    0.00  174.23  227.86    0.00  383.60  103.32  141.99  140.77
16   260.93  308.16  353.99  168.93    0.00  130.14  229.16  158.66  110.17  220.24   99.32    0.00    0.00  257.93  278.35  383.60    0.00  329.22  241.92    0.00
17     0.00  315.60  209.47  410.30  179.51    0.00  279.79  478.83  429.96  117.18  285.24  314.99  308.00   81.86  125.40  103.32  329.22    0.00  117.35    0.00
18    45.61  211.99  149.62    0.00  126.59    0.00    0.00  377.97  350.56   34.93  177.23  205.20    0.00  104.64  172.00  141.99  241.92  117.35    0.00    0.00
19   101.40  352.09  250.23    0.00  220.32    0.00  311.21    0.00  429.96  137.62  302.24  349.45  298.00   76.84   96.69  140.77    0.00    0.00    0.00    0.00
