Adjacency Matrix (11x11):
          0       1       2       3       4       5       6       7       8       9      10
 0     0.00    0.00    0.00    0.00  195.25    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  148.61
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00  252.66    0.00    0.00  217.15    0.00    0.00    0.00
 4   195.25    0.00    0.00  252.66    0.00    0.00    0.00    0.00    0.00    0.00   27.89
 5     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 7     0.00    0.00    0.00  217.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  292.50    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  292.50    0.00    0.00
10     0.00  148.61    0.00    0.00   27.89    0.00    0.00    0.00    0.00    0.00    0.00
