Adjacency Matrix (12x12):
          0       1       2       3       4       5       6       7       8       9      10      11
 0     0.00  214.68  406.77    0.00  221.78    0.00  357.80  237.19    0.00    0.00  279.29  384.70
 1   214.68    0.00  327.94  186.51  127.35  134.63  154.77   24.33  394.55  125.32    0.00    0.00
 2   406.77  327.94    0.00  159.36    0.00  461.16  273.19  336.55  107.17  438.99    0.00    0.00
 3     0.00  186.51  159.36    0.00  111.65  312.54  117.39  188.79  252.23    0.00    0.00    0.00
 4   221.78  127.35    0.00  111.65    0.00    0.00  172.41  143.45  268.00  228.04    0.00  176.26
 5     0.00  134.63  461.16  312.54    0.00    0.00  243.25    0.00  528.99   93.94   91.05  417.41
 6   357.80  154.77  273.19  117.39  172.41  243.25    0.00  141.40  369.49  274.24  152.21  224.10
 7   237.19   24.33  336.55  188.79  143.45    0.00  141.40    0.00    0.00  133.15   59.14  292.59
 8     0.00  394.55  107.17  252.23  268.00  528.99  369.49    0.00    0.00  490.32  461.59  151.63
 9     0.00  125.32  438.99    0.00  228.04   93.94  274.24  133.15  490.32    0.00  141.50    0.00
10   279.29    0.00    0.00    0.00    0.00   91.05  152.21   59.14  461.59  141.50    0.00  338.18
11   384.70    0.00    0.00    0.00  176.26  417.41  224.10  292.59  151.63    0.00  338.18    0.00
