Adjacency Matrix (14x14):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13
 0     0.00    0.00    0.00    0.00  342.07  222.19  271.97  322.19    0.00  133.06  255.18  284.76    0.00  268.81
 1     0.00    0.00    0.00    0.00  263.21  192.21    0.00  222.19  300.67    0.00  241.87  161.76  314.84  159.11
 2     0.00    0.00    0.00    0.00  146.18    0.00  161.77  372.98   57.71  407.18  274.31  297.84  322.77    0.00
 3     0.00    0.00    0.00    0.00  378.93   77.47  213.58  163.88    0.00   47.30  349.78  146.11    0.00  120.10
 4   342.07  263.21  146.18  378.93    0.00  453.13  213.25  437.07  110.00  398.02  142.17  359.07  435.80  378.11
 5   222.19  192.21    0.00   77.47  453.13    0.00    0.00  144.93    0.00   89.14    0.00    0.00  310.58  132.61
 6   271.97    0.00  161.77  213.58  213.25    0.00    0.00  225.89  203.21  250.71    0.00  147.65  239.10  171.00
 7   322.19  222.19  372.98  163.88  437.07  144.93  225.89    0.00  423.00  206.17  457.42   78.26  168.16   63.82
 8     0.00  300.67   57.71    0.00  110.00    0.00  203.21  423.00    0.00    0.00    0.00  346.28    0.00  372.84
 9   133.06    0.00  407.18   47.30  398.02   89.14  250.71  206.17    0.00    0.00  351.76  193.40  356.03    0.00
10   255.18  241.87  274.31  349.78  142.17    0.00    0.00  457.42    0.00  351.76    0.00  386.20  505.10  393.69
11   284.76  161.76  297.84  146.11  359.07    0.00  147.65   78.26  346.28  193.40  386.20    0.00  165.03   33.97
12     0.00  314.84  322.77    0.00  435.80  310.58  239.10  168.16    0.00  356.03  505.10  165.03    0.00  189.28
13   268.81  159.11    0.00  120.10  378.11  132.61  171.00   63.82  372.84    0.00  393.69   33.97  189.28    0.00
