Adjacency Matrix (18x18):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  122.38    0.00  168.96    0.00
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00  375.49    0.00    0.00    0.00    0.00    0.00    0.00  301.94    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  296.44    0.00   95.34    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  202.20    0.00    0.00    0.00    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.24    0.00    0.00  275.41    0.00    0.00    0.00    0.00    0.00  248.92    0.00
 6     0.00    0.00  375.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00   91.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00  207.46  172.63    0.00  238.40    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  161.15    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  378.64  149.04    0.00  372.70    0.00    0.00
10     0.00    0.00    0.00    0.00    0.00  275.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  449.16    0.00    0.00
12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  378.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13     0.00    0.00  301.94    0.00  202.20    0.00    0.00  207.46  161.15  149.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14   122.38    0.00    0.00  296.44    0.00    0.00    0.00  172.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  372.70    0.00  449.16    0.00    0.00    0.00    0.00    0.00    0.00
16   168.96    0.00    0.00   95.34    0.00  248.92    0.00  238.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  112.00
17     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  112.00    0.00
