Adjacency Matrix (12x12):
          0       1       2       3       4       5       6       7       8       9      10      11
 0     0.00    0.00  406.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00    0.00    0.00    0.00  134.63  154.77    0.00    0.00    0.00   81.39    0.00
 2   406.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00  117.39    0.00    0.00    0.00    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00  134.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 6     0.00  154.77    0.00  117.39    0.00    0.00    0.00    0.00    0.00  274.24    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.14  292.59
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00  274.24    0.00    0.00    0.00    0.00    0.00
10     0.00   81.39    0.00    0.00    0.00    0.00    0.00   59.14    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00    0.00  292.59    0.00    0.00    0.00    0.00
