Adjacency Matrix (19x19):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18
 0     0.00  425.84    0.00    0.00  255.31  251.00  246.29  218.69    0.00  158.32    0.00    0.00  418.00    0.00  388.31    0.00    0.00    0.00  229.06
 1   425.84    0.00    0.00  189.34    0.00  175.00  217.35    0.00    0.00  386.16    0.00  230.63    0.00  269.31  445.58  493.00  153.03  335.05  458.93
 2     0.00    0.00    0.00  191.03    0.00  179.03    0.00  208.41  154.78  183.15  189.02  212.45  185.87    0.00  203.59  251.05  101.55  139.62    0.00
 3     0.00  189.34  191.03    0.00  238.60    0.00    0.00    0.00  295.46  373.88    0.00    0.00  110.72    0.00    0.00    0.00    0.00  328.12  412.91
 4   255.31    0.00    0.00  238.60    0.00   45.49   56.94   80.89   63.66    0.00    0.00   91.05  163.25    0.00  329.69  334.97    0.00    0.00    0.00
 5   251.00  175.00  179.03    0.00   45.49    0.00    0.00    0.00    0.00  236.61    0.00   59.94  181.57  174.83    0.00  368.57  102.83    0.00    0.00
 6   246.29  217.35    0.00    0.00   56.94    0.00    0.00  124.91   73.06  169.54  271.15  128.51    0.00   75.01    0.00    0.00    0.00    0.00    0.00
 7   218.69    0.00  208.41    0.00   80.89    0.00  124.91    0.00    0.00  230.67    0.00   18.60    0.00  197.63  392.55    0.00    0.00    0.00  321.62
 8     0.00    0.00  154.78  295.46   63.66    0.00   73.06    0.00    0.00    0.00    0.00    0.00  226.63    0.00    0.00    0.00  122.59  122.07    0.00
 9   158.32  386.16  183.15  373.88    0.00  236.61  169.54  230.67    0.00    0.00  281.71    0.00    0.00    0.00    0.00  147.00  238.65    0.00   93.15
10     0.00    0.00  189.02    0.00    0.00    0.00  271.15    0.00    0.00  281.71    0.00  398.18    0.00    0.00    0.00    0.00  282.18    0.00    0.00
11     0.00  230.63  212.45    0.00   91.05   59.94  128.51   18.60    0.00    0.00  398.18    0.00    0.00    0.00  390.59  361.81  155.72    0.00    0.00
12   418.00    0.00  185.87  110.72  163.25  181.57    0.00    0.00  226.63    0.00    0.00    0.00    0.00  213.79  372.47    0.00    0.00    0.00  409.40
13     0.00  269.31    0.00    0.00    0.00  174.83   75.01  197.63    0.00    0.00    0.00    0.00  213.79    0.00    0.00  224.32  117.10    0.00    0.00
14   388.31  445.58  203.59    0.00  329.69    0.00    0.00  392.55    0.00    0.00    0.00  390.59  372.47    0.00    0.00    0.00    0.00  231.32    0.00
15     0.00  493.00  251.05    0.00  334.97  368.57    0.00    0.00    0.00  147.00    0.00  361.81    0.00  224.32    0.00    0.00  340.02    0.00   56.08
16     0.00  153.03  101.55    0.00    0.00  102.83    0.00    0.00  122.59  238.65  282.18  155.72    0.00  117.10    0.00  340.02    0.00    0.00  306.49
17     0.00  335.05  139.62  328.12    0.00    0.00    0.00    0.00  122.07    0.00    0.00    0.00    0.00    0.00  231.32    0.00    0.00    0.00  133.65
18   229.06  458.93    0.00  412.91    0.00    0.00    0.00  321.62    0.00   93.15    0.00    0.00  409.40    0.00    0.00   56.08  306.49  133.65    0.00
