Adjacency Matrix (12x12):
          0       1       2       3       4       5       6       7       8       9      10      11
 0     0.00  214.68  406.77    0.00  221.78    0.00  357.80  237.19  420.08    0.00  279.29    0.00
 1   214.68    0.00  327.94    0.00  127.35  134.63    0.00    0.00  394.55    0.00   81.39  285.73
 2   406.77  327.94    0.00    0.00  211.30    0.00    0.00  336.55    0.00    0.00  384.24    0.00
 3     0.00    0.00    0.00    0.00  111.65  312.54    0.00    0.00    0.00    0.00    0.00    0.00
 4   221.78  127.35  211.30  111.65    0.00    0.00    0.00  143.45  268.00    0.00    0.00  176.26
 5     0.00  134.63    0.00  312.54    0.00    0.00    0.00    0.00  528.99   93.94   91.05  417.41
 6   357.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00  369.49    0.00  152.21    0.00
 7   237.19    0.00  336.55    0.00  143.45    0.00    0.00    0.00  408.02  133.15    0.00  292.59
 8   420.08  394.55    0.00    0.00  268.00  528.99  369.49  408.02    0.00  490.32  461.59    0.00
 9     0.00    0.00    0.00    0.00    0.00   93.94    0.00  133.15  490.32    0.00    0.00    0.00
10   279.29   81.39  384.24    0.00    0.00   91.05  152.21    0.00  461.59    0.00    0.00  338.18
11     0.00  285.73    0.00    0.00  176.26  417.41    0.00  292.59    0.00    0.00  338.18    0.00
