Adjacency Matrix (16x16):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15
 0     0.00  576.33    0.00    0.00    0.00    0.00    0.00    0.00  544.45    0.00    0.00    0.00    0.00    0.00    0.00  264.17
 1   576.33    0.00    0.00    0.00    0.00  324.08    0.00    0.00    0.00    0.00    0.00    0.00  206.19  471.51    0.00  317.08
 2     0.00    0.00    0.00    0.00  123.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.16    0.00  328.25    0.00  156.73    0.00    0.00    0.00  103.25
 4     0.00    0.00  123.58    0.00    0.00    0.00    0.00    0.00    0.00  527.23  342.22  300.82    0.00    0.00    0.00    0.00
 5     0.00  324.08    0.00    0.00    0.00    0.00  235.97    0.00    0.00    0.00    0.00    0.00  130.46    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00  235.97    0.00    0.00    0.00    0.00  154.06    0.00  129.40    0.00    0.00  241.81
 7     0.00    0.00    0.00   78.16    0.00    0.00    0.00    0.00  356.07    0.00    0.00    0.00    0.00  286.11    0.00    0.00
 8   544.45    0.00    0.00    0.00    0.00    0.00    0.00  356.07    0.00    0.00    0.00    0.00   41.05    0.00    0.00    0.00
 9     0.00    0.00    0.00  328.25  527.23    0.00    0.00    0.00    0.00    0.00  247.16    0.00    0.00   93.02    0.00    0.00
10     0.00    0.00    0.00    0.00  342.22    0.00  154.06    0.00    0.00  247.16    0.00    0.00    0.00    0.00  305.68    0.00
11     0.00    0.00    0.00  156.73  300.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  173.14    0.00    0.00
12     0.00  206.19    0.00    0.00    0.00  130.46  129.40    0.00   41.05    0.00    0.00    0.00    0.00  297.11    0.00    0.00
13     0.00  471.51    0.00    0.00    0.00    0.00    0.00  286.11    0.00   93.02    0.00  173.14  297.11    0.00  489.29  250.14
14     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  305.68    0.00    0.00  489.29    0.00    0.00
15   264.17  317.08    0.00  103.25    0.00    0.00  241.81    0.00    0.00    0.00    0.00    0.00    0.00  250.14    0.00    0.00
