Adjacency Matrix (13x13):
          0       1       2       3       4       5       6       7       8       9      10      11      12
 0     0.00    0.00    0.00  309.01  192.78  337.48  164.62  289.70    0.00  275.77    0.00  140.73    0.00
 1     0.00    0.00  369.40    0.00  248.85    0.00  107.00  413.19  240.84  239.58  265.75  125.13    0.00
 2     0.00  369.40    0.00    0.00  225.40    0.00  263.97  251.05  419.69    0.00  207.80  244.50   58.69
 3   309.01    0.00    0.00    0.00  380.80  578.42  218.08  539.48  406.50    0.00  239.41  212.81  394.85
 4   192.78  248.85  225.40  380.80    0.00    0.00    0.00  164.35  197.27   94.05  295.55  171.68  166.83
 5   337.48    0.00    0.00  578.42    0.00    0.00  360.76   48.66    0.00    0.00  456.44  366.74    0.00
 6   164.62  107.00  263.97  218.08    0.00  360.76    0.00  323.29    0.00  190.16  199.06   28.84  218.19
 7   289.70  413.19  251.05  539.48  164.35   48.66  323.29    0.00  305.79  210.54  409.02  326.83  212.08
 8     0.00  240.84  419.69  406.50  197.27    0.00    0.00  305.79    0.00  105.55  433.28    0.00  361.09
 9   275.77  239.58    0.00    0.00   94.05    0.00  190.16  210.54  105.55    0.00  364.31  210.87  260.60
10     0.00  265.75  207.80  239.41  295.55  456.44  199.06  409.02  433.28  364.31    0.00    0.00  208.60
11   140.73  125.13  244.50  212.81  171.68  366.74   28.84  326.83    0.00  210.87    0.00    0.00  202.56
12     0.00    0.00   58.69  394.85  166.83    0.00  218.19  212.08  361.09  260.60  208.60  202.56    0.00
