Adjacency Matrix (10x10):
          0       1       2       3       4       5       6       7       8       9
 0     0.00  292.41    0.00   26.42  374.21  361.68  107.97  120.44  325.12    0.00
 1   292.41    0.00    0.00    0.00  126.09  133.15  195.41    0.00  162.48   87.71
 2     0.00    0.00    0.00    0.00    0.00  323.21  151.33    0.00    0.00  381.27
 3    26.42    0.00    0.00    0.00  391.95  380.55  128.00    0.00  323.47  321.40
 4   374.21  126.09    0.00  391.95    0.00   25.50  266.66  471.96  280.22  201.64
 5   361.68  133.15  323.21  380.55   25.50    0.00  253.73  455.72  292.41  214.28
 6   107.97  195.41  151.33  128.00  266.66  253.73    0.00    0.00  270.25  239.18
 7   120.44    0.00    0.00    0.00  471.96  455.72    0.00    0.00  445.12    0.00
 8   325.12  162.48    0.00  323.47  280.22  292.41  270.25  445.12    0.00   78.60
 9     0.00   87.71  381.27  321.40  201.64  214.28  239.18    0.00   78.60    0.00
