Adjacency Matrix (16x16):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15
 0     0.00    0.00  442.01  163.60  319.13  436.23    0.00  220.59    0.00  434.06    0.00    0.00    0.00  341.12  459.16    0.00
 1     0.00    0.00    0.00  420.06    0.00  324.08    0.00  355.88  226.40  486.78    0.00    0.00  206.19  471.51    0.00  317.08
 2   442.01    0.00    0.00    0.00    0.00    0.00  330.28  281.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00  303.42
 3   163.60  420.06    0.00    0.00  238.47  286.92  344.68   78.16    0.00  328.25    0.00  156.73  347.29  240.75    0.00    0.00
 4   319.13    0.00    0.00  238.47    0.00  422.30  321.71    0.00  446.45    0.00    0.00    0.00    0.00  454.23  165.19  206.82
 5   436.23  324.08    0.00  286.92  422.30    0.00  235.97    0.00    0.00    0.00   92.76  135.00  130.46  169.73    0.00  228.97
 6     0.00    0.00  330.28  344.68  321.71  235.97    0.00  288.51  159.76    0.00  154.06  229.68    0.00    0.00  213.22    0.00
 7   220.59  355.88  281.82   78.16    0.00    0.00  288.51    0.00    0.00  364.54    0.00    0.00  316.72    0.00    0.00   59.84
 8     0.00  226.40    0.00    0.00  446.45    0.00  159.76    0.00    0.00    0.00  130.25    0.00   41.05  311.60    0.00    0.00
 9   434.06  486.78    0.00  328.25    0.00    0.00    0.00  364.54    0.00    0.00    0.00  229.86  290.69   93.02    0.00  320.41
10     0.00    0.00    0.00    0.00    0.00   92.76  154.06    0.00  130.25    0.00    0.00  101.14    0.00    0.00  305.68    0.00
11     0.00    0.00    0.00  156.73    0.00  135.00  229.68    0.00    0.00  229.86  101.14    0.00  196.16    0.00  316.36    0.00
12     0.00  206.19    0.00  347.29    0.00  130.46    0.00  316.72   41.05  290.69    0.00  196.16    0.00  297.11    0.00    0.00
13   341.12  471.51    0.00  240.75  454.23  169.73    0.00    0.00  311.60   93.02    0.00    0.00  297.11    0.00  489.29    0.00
14   459.16    0.00    0.00    0.00  165.19    0.00  213.22    0.00    0.00    0.00  305.68  316.36    0.00  489.29    0.00    0.00
15     0.00  317.08  303.42    0.00  206.82  228.97    0.00   59.84    0.00  320.41    0.00    0.00    0.00    0.00    0.00    0.00
