Adjacency Matrix (10x10):
          0       1       2       3       4       5       6       7       8       9
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00    0.00    0.00  126.09  133.15    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  381.27
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 4     0.00  126.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00  133.15    0.00    0.00    0.00    0.00    0.00    0.00  292.41    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00  211.01    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00  211.01    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00  292.41    0.00    0.00    0.00    0.00
 9     0.00    0.00  381.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
