Adjacency Matrix (13x13):
          0       1       2       3       4       5       6       7       8       9      10      11      12
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00    0.00    0.00  248.85  445.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  244.50    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00  539.48  406.50    0.00    0.00    0.00    0.00
 4     0.00  248.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00  445.15    0.00    0.00    0.00    0.00    0.00   48.66    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  190.16    0.00   28.84    0.00
 7     0.00    0.00    0.00  539.48    0.00   48.66    0.00    0.00    0.00  210.54    0.00    0.00    0.00
 8     0.00    0.00    0.00  406.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00  190.16  210.54    0.00    0.00    0.00    0.00    0.00
10     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00    0.00  244.50    0.00    0.00    0.00   28.84    0.00    0.00    0.00    0.00    0.00    0.00
12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
