Adjacency Matrix (11x11):
          0       1       2       3       4       5       6       7       8       9      10
 0     0.00    0.00  422.61  429.91    0.00    0.00    0.00    0.00  236.24    0.00    0.00
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2   422.61    0.00    0.00   30.36  238.85  419.64    0.00    0.00    0.00    0.00  224.29
 3   429.91    0.00   30.36    0.00    0.00    0.00  220.05    0.00  195.53    0.00    0.00
 4     0.00    0.00  238.85    0.00    0.00  261.28    0.00    0.00    0.00    0.00    0.00
 5     0.00    0.00  419.64    0.00  261.28    0.00    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00  220.05    0.00    0.00    0.00    0.00    0.00  497.80  175.79
 7     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8   236.24    0.00    0.00  195.53    0.00    0.00    0.00    0.00    0.00  292.50    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00  497.80    0.00  292.50    0.00    0.00
10     0.00    0.00  224.29    0.00    0.00    0.00  175.79    0.00    0.00    0.00    0.00
