Adjacency Matrix (10x10):
          0       1       2       3       4       5       6       7       8       9
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  316.62
 1     0.00    0.00    0.00  304.11    0.00  133.15    0.00  405.31    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00  173.83    0.00    0.00
 3     0.00  304.11    0.00    0.00  391.95  380.55    0.00    0.00    0.00  321.40
 4     0.00    0.00    0.00  391.95    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00  133.15    0.00  380.55    0.00    0.00    0.00    0.00  292.41  214.28
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 7     0.00  405.31  173.83    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00  292.41    0.00    0.00    0.00   78.60
 9   316.62    0.00    0.00  321.40    0.00  214.28    0.00    0.00   78.60    0.00
